repeat,fold,model_name,strategy,display_name,roc_auc,pr_auc,recall,precision,f1,f2,cost_per_applicant,best_f1,best_f1_threshold,n_false_negatives,n_false_positives,,,,,,,
3,4,xgboost,baseline,XGBoost (Baseline),0.760507515,0.246599909,0.019230769,0.524590164,0.037101449,0.023820158,0.797492744,0.312687416,0.142639846,3264,58,,,,,,,
3,4,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.759408833,0.245522288,0.628305288,0.17845865,0.277966102,0.41771545,0.53647472,0.308788078,0.644542038,1237,9626,,,,,,,
3,4,xgboost,smote,XGBoost (SMOTE),0.745789556,0.221039284,0.014723558,0.462264151,0.028538148,0.018259055,0.801126802,0.294547274,0.165958077,3279,57,,,,,,,
3,5,logistic_regression,baseline,Logistic Regression (Baseline),0.745921819,0.222098086,0.009915865,0.515625,0.019457547,0.012335526,0.804395015,0.294483704,0.146670371,3295,31,,,,,,,
3,5,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.745552816,0.21990501,0.682091346,0.161313246,0.26091954,0.414475606,0.545889125,0.293438769,0.663297892,1058,11802,,,,,,,
3,5,logistic_regression,smote,Logistic Regression (SMOTE),0.739881683,0.215045539,0.6640625,0.159187495,0.256812504,0.406324692,0.557376649,0.291349346,0.652762115,1118,11673,,,,,,,
3,5,random_forest,baseline,Random Forest (Baseline),0.745649134,0.227968851,0.000600962,0.666666667,0.001200841,0.000751033,0.811224116,0.29388313,0.149022674,3326,1,,,,,,,
3,5,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.74616082,0.227731309,0.608774038,0.173458904,0.269989339,0.405329706,0.553010902,0.2909699,0.593395697,1302,9654,,,,,,,
3,5,random_forest,smote,Random Forest (SMOTE),0.711983795,0.17257504,0.213341346,0.213791027,0.21356595,0.213431131,0.702202385,0.253740704,0.400862646,2618,2611,,,,,,,
3,5,xgboost,baseline,XGBoost (Baseline),0.762700674,0.247719988,0.018930288,0.520661157,0.036532328,0.023449713,0.797736641,0.311349693,0.176123783,3265,58,,,,,,,
3,5,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.760425653,0.245307112,0.64453125,0.177669179,0.278553341,0.422493599,0.530669984,0.309085167,0.638374746,1183,9928,,,,,,,
3,5,xgboost,smote,XGBoost (SMOTE),0.743058721,0.219055501,0.015024038,0.471698113,0.029120559,0.018631689,0.800858516,0.288591224,0.156623647,3278,56,,,,,,,
